Gene RTS Priority
FEZF2 0.259020433 Y
FOXB1 0.258899737 Y
FLJ12825 0.256423714 Y
FOXC1 0.256239727 Y
GRM4 0.25534014 Y
LINC01386 0.255013009 Y
WT1 0.2547247 Y
NKX2-8 0.2540346 Y
TBX1 0.254032413 Y
MIR3185 0.252972314 Y
HPCAL4 0.252836333 Y
PRAC1 0.252061006 Y
PRAC2 0.252061006 Y
LINC01389 0.251080749 Y
EBF2 0.249946041 Y
SP8 0.249316637 Y
POU4F2 0.244535151 Y
SHH 0.243649481 Y
RNF219-AS1 0.243377238 Y
LINC01159 0.243058176 Y
SOX2 0.2422807 Y
NEUROG3 0.241821549 Y
GPR1-AS 0.238822558 Y
EBF3 0.238210347 Y
BTNL9 0.238091667 Y
IRX4 0.23717919 Y
LOC102723471 0.235351967 Y
GBX2 0.235139464 Y
TTC6 0.23462944 Y
SLC6A17 0.234364982 Y
MSX2 0.233900066 Y
GALNT9 0.233879379 Y
SHTN1 0.233001367 Y
PRDM16 0.228358792 Y
MIR3663 0.226384602 Y
SIX1 0.224267115 Y
DLX3 0.223429252 Y
HAPLN2 0.222849025 Y
NPTX1 0.222576076 Y
SYT2 0.222065785 Y
SHANK1 0.222047681 Y
LOC101928177 0.221744837 Y
SLC12A5 0.219550649 Y
NRN1 0.218749436 Y
SCN4B 0.217675019 Y
ARX 0.217558563 Y
LINC01158 0.216296442 Y
CHAT 0.214443693 Y
DMRT1 0.214076056 Y
NEUROG2 0.213501418 Y
LHX6 0.212597188 Y
CELF4 0.211796544 Y
HAND2 0.21140616 Y
ONECUT2 0.210789818 Y
MIR6720 0.209815738 Y
GATA5 0.207947318 Y
PHOX2B 0.206523279 Y
DMRT3 0.205809407 Y
SSTR5-AS1 0.205269967 Y
MIR670HG 0.204307033 Y
ULBP1 0.203850805 Y
LINC00599 0.203808835 Y
MIR124-1 0.203511738 Y
SLC9A3 0.20319266 Y
MIR196A2 0.202804568 Y
LMX1A 0.202184146 Y
DRGX 0.201348979 Y
LOC100505585 0.201123203 Y
EVX1 0.20001084 Y
CBX8 0.199771142 Y
CACNG2 0.199458584 Y
EMX2 0.199072817 Y
LHX9 0.198814007 Y
IRX2 0.198027356 Y
LHX4 0.196556193 Y
SFRP1 0.196119026 Y
TBX4 0.195878233 Y
PAX1 0.195662976 Y
BLACE 0.195524818 Y
CFAP77 0.1955004 Y
WNT10A 0.194589872 Y
BCL11B 0.194371339 Y
LHX3 0.193574665 Y
EOMES 0.192714981 Y
IRX1 0.192115559 Y
FOXE1 0.191520226 Y
ISL1 0.191100119 Y
VSX2 0.19053382 Y
ALOX12B 0.190394424 Y
OTX1 0.190393918 Y
BARX2 0.189930467 Y
CASZ1 0.189302792 Y
LOC101927207 0.188392127 Y
C1QL2 0.186559276 Y
VSX1 0.184401372 Y
ASCL1 0.183970948 Y
MKNK1-AS1 0.182217549 Y
LOC100287944 0.180746906 Y
HOXC9 0.179526201 Y
RFX4 0.178835567 Y
DMRTA2 0.177859547 Y
C1QA 0.177401263 Y
NR2F2 0.177340288 Y
NTN1 0.177270951 Y
IGSF21 0.17694008 Y
SNCB 0.176935656 Y
MCIDAS 0.1763733 Y
CRMP1 0.175050617 Y
FOXL2NB 0.17454904 Y
POU4F3 0.174470082 Y
MYOD1 0.173905875 Y
MIR6127 0.173558587 Y
SSTR5 0.173170255 Y
MIR1469 0.172368198 Y
TCTE1 0.170566798 Y
SLC26A10 0.169559886 Y
LINC01726 0.168689091 Y
TBX20 0.168451813 Y
LINC01397 0.168335959 Y
NGFR 0.16796104 Y
LINC00917 0.166780886 Y
LOC400043 0.165820657 Y
BHLHE23 0.165702378 Y
CRYBA2 0.165689063 Y
VENTX 0.165162828 Y
FOXL1 0.16348758 Y
LINC00945 0.163467842 Y
SATB2 0.163071148 Y
LINC01230 0.163064253 Y
IGF2BP1 0.1624693 Y
TCHH 0.161715711 Y
PRDM6 0.161319264 Y
DDN 0.161225389 Y
DSCAML1 0.160442562 Y
FOXD2 0.160023517 Y
UNC5A 0.15962596 Y
LINC01141 0.159586245 Y
GSX2 0.158773254 Y
OLIG1 0.158336147 Y
OSR2 0.157418155 Y
CNTFR 0.157216156 Y
NKX1-1 0.156789362 Y
HCN4 0.156711761 Y
NR5A1 0.156698502 Y
SCRT2 0.156565066 Y
FEZF1 0.155060725 Y
TBX18 0.154663779 Y
PTPRN2 0.154450625 Y
LOC146513 0.153525497 Y
NAV2 0.152317856 Y
NTRK1 0.151943823 Y
WNT10B 0.151667551 Y
FOXD3 0.15143481 Y
GNAS-AS1 0.151206932 Y
LINC01475 0.151013986 Y
TBX2 0.15044345 Y
HOXC-AS2 0.150284505 Y
WNT3A 0.149969406 Y
PPP2R2C 0.149473046 Y
COMP 0.149359711 Y
GNAS 0.149170938 Y
MIR129-2 0.148628975 Y
FOXL2 0.14800736 Y
GBX1 0.147799522 Y
NFIX 0.147445868 Y
TWIST1 0.146723096 Y
MAFB 0.146154243 Y
PDE2A 0.145906942 Y
MROH5 0.144683806 Y
GATA6 0.144589787 Y
HOTAIR 0.143850508 Y
INHBB 0.143683721 Y
NR5A2 0.143565724 Y
C1orf94 0.143548113 Y
TFAP2D 0.14308983 Y
FOXC2 0.142723091 Y
SLC8A2 0.142426911 Y
CTD-2194D22.4 0.142050013 Y
ASIC4 0.141454079 Y
SLC6A5 0.141291002 Y
LOC105375800 0.138496628 Y
KCNC1 0.137550137 Y
ANK1 0.137296846 Y
DUOXA1 0.134875115 Y
SIX6 0.134308557 Y
HOXB5 0.134307882 Y
LOC101927248 0.134139155 Y
RIPK4 0.133082574 Y
ARHGAP36 0.131788467 Y
LPO 0.131517827 Y
BLK 0.130966918 Y
LINC01210 0.129974131 Y
IRX5 0.129626203 Y
IRX6 0.129402821 Y
MPPED1 0.128922689 Y
CPLX1 0.128732036 Y
PRDM8 0.128649032 Y
ELFN2 0.12859838 Y
SYT7 0.128064956 Y
INS-IGF2 0.127907562 Y
HELT 0.127277348 Y
NR2F1 0.125768882 Y
NAT16 0.125356029 Y
C17orf102 0.123190682 Y
HOXC11 0.122927939 Y
GJA3 0.122648634 Y
TAL1 0.122534593 Y
CPLX4 0.120876971 Y
SHOX2 0.119988332 Y
IRF4 0.119543032 Y
CYP26C1 0.119443092 Y
FOXB2 0.119384223 Y
DMRT2 0.118997407 Y
HOXC-AS1 0.118792306 Y
SLC6A12 0.118151616 Y
PHACTR3 0.117515089 Y
MIR1-1HG 0.116822388 Y
XKR6 0.116816563 Y
LOC105378853 0.116466645 Y
MIR124-3 0.116081949 Y
FAM172A 0.115950021 Y
SKOR1 0.115655595 Y
LHX8 0.115352025 Y
EPHA10 0.11504238 Y
BMP7 0.114480553 Y
LOC100130417 0.11446648 Y
GFY 0.114393826 Y
LOC100507283 0.114188127 Y
MT1B 0.11376869 Y
CRNDE 0.113712834 Y
IHH 0.113414163 Y
RAET1K 0.113401922 Y
DBX1 0.11323414 Y
C5orf38 0.113221215 Y
LOC101928416 0.113143705 Y
FBXL16 0.113062364 Y
IGF2 0.112894476 Y
DIGIT 0.112030272 Y
VSTM2L 0.111972797 Y
DMTN 0.111446663 Y
CDC20B 0.111071666 Y
LOC101927437 0.110571081 Y
MEIS2 0.110024507 Y
POU2F3 0.109970563 Y
OSR1 0.10949973 Y
MIR449C 0.109162088 Y
MIR3131 0.108917346 Y
GRIK3 0.108242315 Y
IGF2-AS 0.106697882 Y
SEZ6 0.105930513 Y
OLFM1 0.105571309 Y
INSRR 0.104061141 Y
MIR449B 0.103712689 Y
MIR449A 0.103511481 Y
LOC101928107 0.102956771 Y
FOXG1 0.10288629 Y
SYT5 0.102335561 Y
BCL11A 0.102245632 Y
TBX21 0.101286224 Y
MT1DP 0.101000094 Y
KNCN 0.100857457 Y
GSC 0.100681287 Y
SLC18A3 0.100121965 Y
NRG2 0.099983824 Y
CA4 0.099435186 Y
HLX 0.0993079 Y
GABBR2 0.099217581 Y
LINGO1 0.098274412 Y
LOC105372695 0.098032088 Y
LOC101927318 0.097956493 Y
GRIK4 0.096668989 Y
JPH3 0.096550393 Y
LOC100288866 0.096530641 Y
MEGF11 0.096159225 Y
SLC6A3 0.096134179 Y
SLIT1 0.095658855 Y
LOC105370424 0.094605868 Y
TBR1 0.093634384 Y
CUX2 0.093248448 Y
GFI1B 0.092835145 Y
VSTM2B 0.091839791 Y
ECEL1 0.091403956 Y
LINC01305 0.091348026 Y
DNAJC22 0.091005159 Y
TOB2P1 0.090396442 Y
LOC727993 0.090334119 Y
DMBX1 0.090104165 Y
PPIE 0.089880418 Y
CYP26A1 0.089731081 Y
BARHL1 0.088966108 Y
CRLF1 0.088819674 Y
LOC101929034 0.088509812 Y
C1QTNF8 0.08802088 Y
OTOP3 0.087947175 Y
LOC105373021 0.087497679 Y
MIR2277 0.087015409 Y
DNAJB8-AS1 0.086832218 Y
ADGRA1 0.086629016 Y
LINC01081 0.086551754 Y
SALL3 0.086381119 Y
LOC100130587 0.086334232 Y
DBH 0.085932738 Y
BLACAT1 0.085829499 Y
ZDHHC22 0.085751238 Y
ITPKA 0.085448737 Y
LOC101927583 0.084571599 Y
FLJ32255 0.084422287 Y
FAM43B 0.083681578 Y
FLI1 0.083659599 Y
RASGRF1 0.08243659 Y
CCDC33 0.082142061 Y
CDK5R2 0.082141323 Y
VSIG2 0.081884539 Y
C1QL4 0.08134824 Y
FZD10-AS1 0.081238042 Y
SLFN12L 0.081161837 Y
DNAAF3 0.081017582 Y
BCOR 0.080788303 Y
LINC01511 0.080569527 Y
PLXNA4 0.080250226 Y
HOXC4 0.08021007 Y
NKX3-1 0.079931979 Y
NRXN2 0.079668871 Y
HOXC12 0.079594623 Y
SYPL2 0.078953031 Y
ZNF503-AS2 0.078461197 Y
HSF4 0.078193391 Y
PDGFB 0.078154645 Y
HOXC13 0.078118866 Y
LOC284395 0.0779843 Y
SSTR4 0.077971732 Y
SPR 0.077700771 Y
C2orf70 0.077530725 Y
SLC17A7 0.076728005 Y
PHF21B 0.076612026 Y
EGR4 0.075943125 Y
HOXC5 0.075853535 Y
ACAN 0.075557315 Y
LOC101929154 0.075548054 Y
HOXC6 0.075333947 Y
FBXL21 0.075174049 Y
CACNA1C 0.075138913 Y
HOXC8 0.074852547 Y
THBD 0.074730545 Y
GABRD 0.074606845 Y
SEMA5B 0.07446525 Y
SMUG1 0.074319867 Y
KCNT1 0.074261528 Y
CALY 0.074154887 Y
BMP4 0.0739907 Y
TNNI3 0.073512737 Y
PDYN 0.073493972 Y
LINC01314 0.073414062 Y
MEIS1 0.073267608 Y
EBF4 0.072567574 Y
KCND3 0.072307624 Y
CYP26B1 0.071805635 Y
MMP9 0.071743418 Y
ZBTB7C 0.071677401 Y
MIR6165 0.071151273 Y
DNAJB8 0.071071821 Y
KCNH2 0.070924986 Y
DOK7 0.070781723 Y
WNT6 0.070620024 Y
AQP5 0.07019438 Y
TCF21 0.070030049 Y
MIR96 0.069657863 Y
PTPRH 0.069332956 Y
MIR615 0.069176385 Y
LRRC4B 0.06892409 Y
LINC01117 0.068920726 Y
SALL1 0.068856616 Y
KIF1A 0.068707566 Y
LINC01276 0.06866794 Y
EXOC6 0.068466029 Y
MIR183 0.068162969 Y
HMX2 0.068022615 Y
BUB3 0.067930037 Y
KCNJ10 0.067037261 Y
ADRA2C 0.067027249 Y
TMC2 0.066894931 Y
NAT8L 0.066418298 Y
PRKAG1 0.066397116 Y
HOXA10-HOXA9 0.066299979 Y
SP9 0.066168539 Y
MSX2P1 0.065957479 Y
LOC100128770 0.065232013 Y
BICDL2 0.065129832 Y
ZIC2 0.065077838 Y
ZSCAN9 0.064986967 Y
RAET1L 0.064876047 Y
CABP7 0.064654731 Y
LINC00208 0.064504502 Y
EPS8L1 0.064330307 Y
NSG1 0.063022824 Y
CDH4 0.062726255 Y
PAX3 0.062234445 Y
MT1G 0.06202454 Y
ARHGAP19-SLIT1 0.061806308 Y
NEUROD1 0.061722008 Y
HOXA10 0.061670236 Y
MMP25 0.061586803 Y
KCNA1 0.06130851 Y
MT1H 0.061303442 Y
IGSF9B 0.060993605 Y
HNF1B 0.060955147 Y
KCNA2 0.060866844 Y
KCNJ4 0.060719399 Y
CD300E 0.060621223 Y
SEPT5-GP1BB 0.06030127 Y
ADORA1 0.060271397 Y
CD40 0.059965447 Y
LINC00554 0.059550035 Y
PVALB 0.05885327 Y
MT1A 0.058794356 Y
DLK1 0.058430463 Y
RTBDN 0.058226491 Y
LOC648987 0.058171753 Y
RGMA 0.057849334 Y
SYN2 0.057656435 Y
ESX1 0.056661898 Y
BSX 0.056150921 Y
C4orf48 0.05591559 Y
OR1F1 0.05590761 Y
ESPNP 0.055866633 Y
SLC6A1 0.055558272 Y
NTSR1 0.055235663 Y
WNT7B 0.055172556 Y
LOC101927740 0.055055697 Y
KCNIP1 0.054983285 Y
CACNA1I 0.054846675 Y
BHLHE22 0.054745667 Y
LINC01391 0.054734734 Y
RHCG 0.054713748 Y
KLF14 0.054255372 Y
RGS20 0.054160856 Y
TLX1 0.053808584 Y
LOC100130238 0.053719709 Y
MIR182 0.053643011 Y
NEFL 0.05295651 Y
ATP6V1B1 0.052884071 Y
CHD5 0.05260946 Y
KCNJ5 0.052432989 Y
MT1F 0.052396104 Y
MIR670 0.052228545 Y
FGF3 0.052197013 Y
EGFLAM 0.052097558 Y
KIRREL3 0.051510448 Y
TROAP 0.051422059 Y
HOXA11 0.051411225 Y
NT5C1A 0.05132496 Y
PCK1 0.051065339 Y
OTOP2 0.050727625 Y
FGF8 0.050563655 Y
LMO2 0.050554254 Y
CBLN1 0.05045376 Y
KIF19 0.050248823 Y
MT1IP 0.050240959 Y
ISLR2 0.050027622 Y
LINC01056 0.049898622 Y
PEBP4 0.049723944 Y
WNT3 0.049554855 Y
PRDM14 0.049379711 Y
LRCOL1 0.049309185 Y
LOC101928509 0.049200613 Y
MIR9-3 0.049162271 Y
EBF1 0.049020632 Y
CELF5 0.048688907 Y
PDE1B 0.04866612 Y
MIR1268A 0.048559936 Y
KCNK13 0.048530765 Y
CACNA1C-IT2 0.048009827 Y
PCDHGA2 0.047867077 Y
ANO1 0.047858768 Y
BRINP2 0.047723788 Y
MT1JP 0.047559797 Y
GRIN2C 0.047512215 Y
PCDHGA1 0.04744382 Y
KCNQ1 0.047130817 Y
PCDHGA3 0.047090171 Y
TBKBP1 0.04695654 Y
VPREB1 0.046908145 Y
TP73 0.046859199 Y
PCDHGB1 0.046523105 Y
IRF8 0.045936835 Y
PHF24 0.045761941 Y
RBBP8NL 0.045655536 Y
FADS6 0.045618385 Y
C5orf66-AS1 0.045592743 Y
Sep-05 0.045576215 Y
LOC101928766 0.045401699 Y
LOC399886 0.045397533 Y
CACNA2D4 0.045192067 Y
ADAMTSL2 0.045177932 Y
LINC00029 0.045146327 Y
LOC101926913 0.044903357 Y
DPYSL5 0.044824402 Y
PCDHGA4 0.044646516 Y
PKNOX2 0.044575264 Y
PSD2 0.044564789 Y
PCDHGB2 0.04452074 Y
ADGRB1 0.044331166 Y
GAD2 0.044141992 Y
PCDHGA5 0.043986648 Y
IGF2BP3 0.043756782 Y
MIR9-1 0.043648893 Y
CCM2L 0.043533718 Y
MT1M 0.043515479 Y
ADCYAP1 0.043503897 Y
FZD10 0.043231209 Y
HOXB7 0.042902868 Y
KLK2 0.042862538 Y
FGF19 0.042600927 Y
SOX7 0.042514779 Y
CBX2 0.042451292 Y
TRIM67 0.042447965 Y
C1QL1 0.042401565 Y
FRMPD1 0.042385839 Y
BMI1 0.042325373 Y
COMMD3-BMI1 0.042325373 Y
GRIN1 0.04231835 Y
CNTFR-AS1 0.042291659 Y
EEF1A2 0.042284271 Y
ATOH1 0.042206807 Y
PCDHGB3 0.042204368 Y
PCDHGA6 0.042012915 Y
LOC101929538 0.041565173 Y
EGR3 0.041529354 Y
TRIM63 0.041335769 Y
MEIS3 0.041184163 Y
VGLL2 0.041121617 Y
PCDHGA7 0.040264907 Y
SKAP1 0.04018036 Y
LRFN2 0.040005533 Y
PCDH8 0.039975741 Y
LINC00982 0.039461361 Y
LIN28B 0.039106519 Y
KCNB1 0.039096141 Y
SOX14 0.039002343 Y
LINC01096 0.038783208 Y
NKX3-2 0.038783208 Y
PRDM12 0.038751634 Y
OVOL1 0.03833814 Y
CCDC177 0.038300247 Y
PRMT8 0.038154618 Y
ZNF503 0.038073631 Y
RXRG 0.037509385 Y
GRID1 0.037452568 Y
OR4D2 0.03738688 Y
KCNK3 0.037303538 Y
H19 0.037282961 Y
RIPK3 0.037185981 Y
LOC100190940 0.037067349 Y
C14orf180 0.036904085 Y
MIR4418 0.036620029 Y
OR4D1 0.036304985 Y
GP1BB 0.036190843 Y
C15orf59 0.036000625 Y
LINC01116 0.035830597 Y
ZIC3 0.03560282 Y
SORCS2 0.035476405 Y
PRSS56 0.035399984 Y
GRP 0.035046183 Y
ATOH8 0.035044228 Y
CYP24A1 0.034884281 Y
FIBCD1 0.034412369 Y
CACNG4 0.034257635 Y
PCAT19 0.034126684 Y
ESRRB 0.034076669 Y
LOC105372441 0.033968771 Y
LRTM2 0.033395069 Y
CACNA1E 0.033289761 Y
LEF1 0.033209011 Y
HOXB8 0.033141757 Y
ULBP2 0.033087371 Y
SYNDIG1L 0.032887912 Y
MIR124-2HG 0.032773107 Y
NR4A2 0.032556123 Y
CXCL14 0.032492087 Y
CAMK2N1 0.032402988 Y
SOX18 0.032150039 Y
SP5 0.032012078 Y
MECOM 0.031945257 Y
NXPH1 0.03185322 Y
SCUBE1 0.031850376 Y
DPYSL2 0.031642956 Y
TMEM179 0.031406353 Y
ALX3 0.031344155 Y
TTLL10 0.030982317 Y
LINC01396 0.030965039 Y
ANO1-AS2 0.030913437 Y
SOWAHA 0.030855695 Y
LOC101928738 0.030832312 Y
XKR7 0.030756374 Y
SPAG6 0.030744322 Y
OR2V1 0.030599769 Y
PRRX1 0.030453348 Y
HOXB1 0.030443813 Y
CD6 0.03039455 Y
CCDC155 0.030228076 Y
CBX4 0.030176689 Y
SHROOM1 0.030088705 Y
RAB37 0.029986587 Y
LOC283731 0.029940343 Y
GIMAP1-GIMAP5 0.02969215 Y
LOC440390 0.029455783 Y
NFIB 0.029306666 Y
ARHGAP40 0.029192584 Y
CDKN2C 0.029136217 Y
SOX3 0.029043964 Y
KLK15 0.029006794 Y
ABLIM2 0.028994958 Y
BEGAIN 0.028993322 Y
ACOXL 0.028912654 Y
RASGEF1A 0.028610776 Y
ADRA1B 0.028604046 Y
HEY2 0.028564108 Y
BHLHE41 0.028515579 Y
KRT76 0.02844723 Y
SNORA99 0.028180451 Y
CPEB1 0.028166657 Y
C1QC 0.028000778 Y
WNT7A 0.027586378 Y
FOXO6 0.027575166 Y
HOXA1 0.027575023 Y
PKP1 0.027306129 Y
VWA5B1 0.027235323 Y
FAM163B 0.027214601 Y
NTF3 0.027146121 Y
NFASC 0.027017851 Y
SCARA5 0.026939909 Y
CFAP74 0.026629454 Y
ZFHX4 0.02652259 Y
LOC101929384 0.026498942 Y
PRAMENP 0.026484655 Y
NOVA2 0.026439536 Y
LINC00489 0.026332691 Y
LOC101929234 0.026299765 Y
SLC17A9 0.026272441 Y
LINC00176 0.026227083 Y
FOXN4 0.02605772 Y
TRIM36 0.025997648 Y
SOX21 0.025996946 Y
PTH2 0.025629185 Y
PCDHGB4 0.025422783 Y
PTH1R 0.02540038 Y
FOXI3 0.025382252 Y
GAD1 0.025295253 Y
ZFHX3 0.025203736 Y
COL27A1 0.025108155 Y
ACTR5 0.025000094 Y
SLC30A3 0.024963377 Y
PCDHGA8 0.024887237 Y
ZBTB16 0.024804687 Y
MRGPRG-AS1 0.024601942 Y
QSOX2 0.024539573 Y
ERG 0.024451362 Y
CLDN9 0.024379162 Y
LOC100132215 0.024203736 Y
SHISA7 0.024150916 Y
PITX3 0.024150068 Y
LINC01494 0.024033444 Y
MYO5B 0.024015669 Y
FRMD4A 0.02399062 Y
LOC400706 0.023985692 Y
PLCH2 0.023957235 Y
C10orf11 0.023779595 Y
LOC101929229 0.023736407 Y
KRT1 0.023700165 Y
C15orf59-AS1 0.023669328 Y
ANKRD34C 0.023592856 Y
LOC102724050 0.023589759 Y
LOC100133461 0.023587166 Y
CYS1 0.023575814 Y
CHRND 0.023422774 Y
SLFN13 0.023361876 Y
PCDHGB5 0.023302683 Y
NKD2 0.023137927 Y
LY6H 0.023071276 Y
FGF13 0.023007563 Y
LINC01168 0.022906648 Y
C20orf166-AS1 0.02287353 Y
PCDH1 0.022759237 Y
NTRK3-AS1 0.022754185 Y
LINC00463 0.022744815 Y
MIR1-1 0.022744117 Y
ANKRD34C-AS1 0.022533202 Y
LINC00927 0.022495342 Y
KRT77 0.022491289 Y
LINC01143 0.0223791 Y
TCF15 0.022299336 Y
MYT1 0.022276972 Y
LINC01053 0.022258456 Y
MRGPRE 0.022177597 Y
HOXD9 0.022022741 Y
GLP1R 0.022013288 Y
LOC105369971 0.02201121 Y
ADCY5 0.022009496 Y
TNFSF8 0.021957291 Y
GIMAP5 0.021954342 Y
LOC101929748 0.02186886 Y
LOC100507384 0.021847579 Y
MRGPRG 0.021610468 Y
DISP3 0.021604182 Y
TARID 0.02149668 Y
SLC6A11 0.021495983 Y
MIR4456 0.021493523 Y
MYT1L 0.021388123 Y
CHST8 0.021321206 Y
LOC401463 0.021196264 Y
L1CAM 0.021091238 Y
CIB4 0.021057476 Y
PCDHGA9 0.021045558 Y
NFIC 0.02099485 Y
TCEA2 0.020991717 Y
IL9 0.020966619 Y
SCD5 0.020952756 Y
MFSD4A 0.020907944 Y
HES4 0.020852053 Y
PRR25 0.020754341 Y
IQSEC3 0.020734841 Y
TENM4 0.020598988 Y
LINC01124 0.020575598 Y
ANKRD19P 0.020517967 Y
MIR133A2 0.020422957 Y
CNTN2 0.020421306 Y
LINC00479 0.020234314 Y
MIR135B 0.020190979 Y
CACNG8 0.020149284 Y
PAX8 0.020086429 Y
LOC100129175 0.019957085 Y
GRIP2 0.019835928 Y
HCK 0.019823248 Y
LOC100506688 0.019811617 Y
AUTS2 0.01976812 Y
LINC01082 0.019747336 Y
ATP2B2 0.019742268 Y
TSPEAR 0.019571201 Y
KCNK9 0.019471104 Y
PCDHGB6 0.019469898 Y
IFITM10 0.019296838 Y
CADPS 0.01928457 Y
GRAP2 0.019219716 Y
EHBP1 0.019101918 Y
PSMG3-AS1 0.019083777 Y
GPRIN2 0.019006723 Y
HOXB3 0.01895114 Y
SLC1A2 0.018916744 Y
KCNQ1-AS1 0.01870645 Y
TNNT2 0.018686389 Y
ESPN 0.018634571 Y
LINC00620 0.018561699 Y
PLCB2 0.018523109 Y
EPHB3 0.018517572 Y
C19orf81 0.018387004 Y
CITED1 0.018267235 Y
LHX1 0.018240194 Y
LINC01548 0.018231647 Y
NPHS1 0.018125645 Y
ASIC2 0.018070893 Y
IRX3 0.017924429 Y
KRT74 0.017895561 Y
CEACAM21 0.017872833 Y
GJB6 0.017838766 Y
LAMP5-AS1 0.017821866 Y
TMPRSS6 0.017776916 Y
TRIM29 0.017622013 Y
PEAR1 0.017509224 Y
TMEM174 0.017491939 Y
LOC101929696 0.017488632 Y
KIRREL2 0.017470847 Y
MIR675 0.017436568 Y
FIGNL2 0.017430235 Y
CLIC6 0.017387619 Y
SLC38A8 0.017370967 Y
MCF2L 0.017331258 Y
SORCS3 0.017209031 Y
SLC30A2 0.017160027 Y
HOXD3 0.017083182 Y
SCN2B 0.017036249 Y
CPEB1-AS1 0.016954583 Y
SEZ6L 0.016891781 Y
BAHCC1 0.016832874 Y
PCDH19 0.016817833 Y
C1QB 0.016804843 Y
CPXM1 0.016775753 Y
HOXD12 0.016670802 Y
AK8 0.01664571 Y
CLYBL 0.016629057 Y
LOC101928174 0.016560032 Y
CACNA1S 0.01648308 Y
KCNA4 0.016396008 Y
SV2B 0.016392916 Y
CDH23 0.016392842 Y
LOC90246 0.016340701 Y
UNC13A 0.016283397 Y
C14orf39 0.016280655 Y
ITGA9 0.016241787 Y
CACNA1G 0.016218509 Y
ENTPD1-AS1 0.01617573 Y
DTX1 0.016010836 Y
SLC18A2 0.015949139 Y
